,Close,MACD,MACD_Signal,Difference,Action,Prediction
2023-10-02,173.75,-2.4745927352604156,-2.2216068283120114,-0.25298590694840417,0,0
2023-10-03,172.4,-2.414741723670147,-2.2602338073836385,-0.15450791628650862,0,0
2023-10-04,173.66,-2.246018021416006,-2.257390650190112,0.01137262877410583,0,0
2023-10-05,174.91,-1.9943413077777734,-2.2047807817076444,0.21043947392987095,0,0
2023-10-06,177.49,-1.5805241519672109,-2.0799294557595576,0.4994053037923467,0,0
2023-10-18,175.84,0.024665574099657306,-0.40869513361844206,0.43336070771809937,0,0
2023-10-19,175.46,-0.1054803229511947,-0.34805217148499257,0.24257184853379787,0,0
2023-10-20,172.88,-0.4001208808742547,-0.358465913362845,-0.04165496751140968,0,0
2023-10-23,173.0,-0.6182806596314094,-0.41042886261655787,-0.20785179701485157,0,0
2023-10-24,173.44,-0.7498531282583656,-0.47831371574491943,-0.27153941251344615,0,0
2023-10-25,171.1,-1.0203661340234191,-0.5867241994006194,-0.43364193462279976,0,0
2023-11-01,173.97,-1.5881780569116586,-1.361266134144562,-0.2269119227670966,0,0
2023-11-02,177.57,-1.0849759802806602,-1.3060081033717816,0.2210321230911214,0,0
2023-11-03,176.65,-0.7461273677513702,-1.1940319562476993,0.4479045884963291,0,0
2023-11-28,190.4,3.7136870748585693,3.3566786251831755,0.3570084496753938,0,0
2023-11-29,189.37,3.5314942387905717,3.3916417479046546,0.1398524908859171,0,0
2023-11-30,189.95,3.392015811245699,3.3917165605728634,0.00029925067283542717,0,0
2023-12-01,191.24,3.3409407197120515,3.381561392400701,-0.04062067268864933,0,0
2023-12-04,189.43,3.127447345896968,3.3307385830999543,-0.20329123720298625,1,0
2023-12-05,193.42,3.2236543980935153,3.3093217460986666,-0.0856673480051513,1,0
2023-12-06,192.32,3.1805310809044727,3.283563613059828,-0.10303253215535513,0,0
2023-12-07,194.27,3.2570943981044422,3.278269770068751,-0.02117537196430863,0,0
2023-12-08,195.71,3.388649994274232,3.3003458149098472,0.08830417936438462,0,0
2023-12-11,193.18,3.2642132693271435,3.2931193057933066,-0.028906036466163076,0,0
2023-12-12,194.71,3.2444024950575567,3.2833759436461567,-0.03897344858859997,0,0
2023-12-13,197.96,3.436076745718708,3.313916104060667,0.12216064165804097,-1,0
2023-12-14,198.11,3.559374761911698,3.3630078356308735,0.19636692628082475,-1,0
2023-12-15,197.57,3.5757748610719204,3.405561240719083,0.1702136203528375,0,0
2023-12-18,195.89,3.4224419718495938,3.408937386945185,0.013504584904408645,0,0
2023-12-19,196.94,3.3421315155152342,3.395576212659195,-0.05344469714396061,0,0
2023-12-20,194.83,3.08313843967278,3.3330886580619117,-0.24995021838913178,0,0
2023-12-21,194.68,2.8335698263453537,3.2331848917186,-0.3996150653732462,0,0
2024-01-18,188.63,-1.4925073069310884,-1.2108762876032801,-0.2816310193278082,0,0
2024-01-19,191.56,-0.9892842861276563,-1.1665578873081555,0.17727360118049917,0,0
2024-01-30,188.04,0.5922412002195472,0.24358832917649093,0.34865287104305626,0,0
2024-01-31,184.4,0.085175212815642,0.21190570590432115,-0.12673049308867915,0,0
