Close,SMMA,MI,MD,Signal,Difference,Action
238.24,0.0,0.0,0.0,0.0,0.0,0
237.8,0.0,0.0,0.0,0.0,0.0,0
237.1,0.0,0.0,0.0,0.0,0.0,0
234.6,0.0,0.0,0.0,0.0,0.0,0
234.35,0.0,0.0,0.0,0.0,0.0,0
234.6799,0.0,0.0,0.0,0.0,0.0,0
234.975,0.0,0.0,0.0,0.0,0.0,0
237.34,0.0,0.0,0.0,0.0,0.0,0
238.715,0.0,0.0,0.0,0.0,0.0,0
237.227,236.50268999999997,0.0,0.0,0.0,0.0,0
238.64,236.71642099999994,0.0,0.0,0.0,0.0,0
238.77,236.92177889999994,0.0,0.0,0.0,0.0,0
238.85,237.11460100999994,0.0,0.0,0.0,0.0,0
238.93,237.29614090899994,0.0,0.0,0.0,0.0,0
238.94,237.46052681809996,0.0,0.0,0.0,0.0,0
239.31,237.64547413628998,0.0,0.0,0.0,0.0,0
239.0,237.78092672266098,0.0,0.0,0.0,0.0,0
238.9,237.89283405039492,0.0,0.0,0.0,0.0,0
237.9,237.89355064535545,238.99262339456953,1.3471492582795577,0.0,1.3471492582795577,0
237.91,237.8951955808199,238.72816647748553,1.0826923411955534,0.26942985165591155,0.8132624895396419,0
235.78,237.68367602273793,237.8199542775372,0.17448014124721567,0.4859683198950222,-0.31148817864780654,1
237.83,237.69830842046412,237.822226960959,0.1767528246690233,0.5208643481444654,-0.34411152347544205,0
233.72,237.30047757841766,236.46532761809397,0.0,0.55621491307827,-0.55621491307827,0
236.785,237.24892982057585,236.47945854995808,-0.821019028459574,0.55621491307827,-1.377233941537844,0
237.899,237.31393683851826,236.8672831060007,-0.4331944724169432,0.12258125573044368,-0.5557757281473868,0
236.98,237.28054315466642,236.8572058879466,-0.4432716904710503,-0.18059610699205564,-0.26267558347899467,0
236.715,237.22398883919976,236.76691598535018,-0.5335615930674749,-0.3041464733357088,-0.22941511973176604,0
235.56,237.05758995527975,236.32293957169966,-0.9775380067179924,-0.44620935688300845,-0.531328649834984,0
235.34,236.8858309597518,235.92778380481957,-1.3726937735980869,-0.6417169582266069,-0.73097681537148,0
235.15,236.7122478637766,235.58101725658346,-1.719460321834191,-0.7520519072543095,-0.9674084145798816,0
235.05,236.54602307739896,235.30157792242267,-1.9988996559949896,-1.0093050771377592,-0.9895945788572305,0
235.1,236.40142076965904,235.12272752773907,-2.1777500506785827,-1.320430670242547,-0.8573193804360357,0
234.17,236.17827869269314,234.69481189071155,-2.6056656877061073,-1.6492683617647685,-0.9563973259413387,0
232.83,235.84345082342384,233.94803160838038,-3.35244597003728,-1.9748938979623916,-1.3775520720748886,0
233.21,235.58010574108147,233.5367809529891,-2.306669870434746,-2.3708443372502304,0.06417446681548444,-1
233.29,235.3510951669733,233.27712453233906,-2.5663262910847777,-2.488286246970341,-0.07804004411443666,1
233.68,235.18398565027596,233.23265620009107,-2.6107946233327652,-2.601771573988299,-0.009023049344466294,0
238.1499,235.48057708524834,234.69532926031872,-1.1481215631051214,-2.6883804885191354,1.540258925414014,-1
245.69,236.50151937672348,238.2812697631052,0.6357956268152236,-2.396871663598938,3.0326672904141616,0
243.47,237.1983674390511,240.19280779346295,3.691288416739468,-1.5992233442284374,5.290511760967905,0
241.24,237.60253069514602,240.8435792751582,4.342059898434712,-0.39963168679359456,4.741691585228307,0
238.4579,237.6880676256314,240.37262202653574,3.871102649812258,0.9820455511103034,2.8890570987019544,0
239.7965,237.89891086306824,240.436568925341,3.9350495486175134,2.278425005739308,1.6566245428782054,0
238.85,237.99401977676138,240.1453244881663,3.6438051114428163,3.295059228083835,0.34874588335898116,0
239.74,238.1686177990852,240.2017534355728,3.7002340588493325,3.8966611250093535,-0.19642706616002092,1
239.1799,238.2697460191767,240.03910658431357,3.537587207590093,3.8984502534313266,-0.36086304584123363,0
239.15,238.35777141725902,239.8919394662206,3.390420089497127,3.7375557152624026,-0.3471356257652758,0
239.93,238.51499427553307,240.02674695026678,3.5252275735433045,3.6414192031993764,-0.11619162965607188,0
241.26,238.78949484797977,240.5534611519748,4.051941775251322,3.5594548081845345,0.4924869670667875,-1
241.6,239.0705453631818,241.0418083067719,4.540288930048433,3.641082140946236,0.8992067891021973,0
241.23,239.2864908268636,241.26485695397423,4.763337577250752,3.809093115186056,0.9542444620646959,0
241.63,239.52084174417723,241.54524962015185,5.043730243428371,4.054243189118187,0.9894870543101835,0
242.79,239.8477575697595,242.11922323568717,5.617703858963694,4.384905219904437,1.232798639059257,0
244.36,240.29898181278355,243.04463621019642,6.543116833472936,4.803400476988514,1.739716356484422,0
244.265,240.69558363150517,243.67620568205143,7.174686305327953,5.301635488632837,1.8730508166951152,0
244.905,241.11652526835468,244.33002638033287,7.8285070036093884,5.8285149636887414,1.999992039920647,0
243.92,241.3968727415192,244.4610955624772,7.959576185753718,6.441548848960468,1.5180273367932502,0
242.45,241.50218546736724,244.04499821953323,7.543478842809748,7.024718037425538,0.5187608053842094,0
242.339,241.5858669206305,243.677032288487,7.175512911763519,7.4098730341947485,-0.23436012243122928,1
239.4121,241.36849022856745,242.41890526725817,5.917385890534689,7.5363522498528654,-1.6189663593181765,0
239.69,241.20064120571072,241.5691572524766,5.067637875753121,7.284892166894212,-2.2172542911410913,0
239.57,241.03757708513967,240.89852734993764,4.3970079732141585,6.732718341322959,-2.335710368108801,0
240.17,240.9508193766257,240.60402213088472,4.102502754161236,6.020204698815047,-1.9177019446538113,0
240.37,240.8927374389631,240.45864187248117,3.9571224957576874,5.332009481085345,-1.3748869853276577,0
240.7,240.87346369506676,240.46748180288935,3.9659624261658735,4.688331397884179,-0.7223689717183053,0
240.46,240.8321173255601,240.40174715124888,3.900227774525405,4.298046705010416,-0.3978189304850108,0
240.6,240.80890559300406,240.40594966870447,3.9044302919809866,4.064564684764872,-0.16013439278388564,0
240.74,240.80201503370364,240.4614588029118,3.9599394261883276,3.9660491485182376,-0.006109722329910028,0
242.12,240.93381353033328,240.96402413067335,4.462504753949872,3.937536482923656,0.5249682710262165,-1
238.0699,240.64742217729994,239.9997902052683,3.4982708285448325,4.038612934562093,-0.5403421060172606,1
243.0576,240.88843995956995,240.93933971949247,4.437820342768987,3.9450746150378846,0.49274572773110226,-1
242.54,241.05359596361296,241.46721204820474,4.965692671481264,4.052593128686601,0.9130995427946633,0
240.515,240.99973636725167,241.18662370467476,4.685104327951279,4.2648456045866565,0.4202587233646229,0
241.255,241.02526273052655,241.22121750100015,4.719698124276675,4.409878584939247,0.3098195393374281,0
240.86,241.00873645747393,241.1149135960279,4.613394219304411,4.461317259004607,0.15207696029980333,0
242.64,241.17186281172653,241.623754334153,5.1222349574295265,4.684341937156523,0.4378930202730036,0
242.599,241.3145765305539,241.9844244370581,5.482905060334616,4.821224860088631,0.6616802002459847,0
242.8239,241.4655088774985,242.32052840885217,5.81900903212869,4.924667337859302,0.8943416942693885,0
242.88,241.60695798974865,242.58070946736385,6.079190090640367,5.151448278694784,0.9277418119455829,0
242.91,241.73726219077375,242.77469151587616,6.273172139152678,5.423346671967522,0.8498254671851555,0
243.7,241.93353597169636,243.1701772998926,6.668657923169121,5.755302255937176,0.9133556672319454,0
242.64,242.00418237452672,243.1020255586179,6.600506181894417,6.064586849085094,0.535919332809323,0
242.0,242.00376413707403,242.82955949847144,6.328040121747961,6.288107073397055,0.03993304835090594,0
241.38,241.94138772336663,242.41478273098593,5.913263354262455,6.389913291320909,-0.47664993705845404,1
240.4,241.78724895102997,241.77894761453743,5.27742823781395,6.356727944045327,-1.0792997062313763,0
242.395,241.84802405592694,241.96722501213677,5.465705635413286,6.157579163777581,-0.6918735283642947,0
245.185,242.18172165033425,243.02971731921943,6.52819794249595,5.916988706226414,0.611209236269536,-1
241.975,242.16104948530082,242.75106448944103,6.249545112717556,5.90252705834672,0.3470180543708352,0
241.5855,242.10349453677077,242.41011294258305,5.908593565859576,5.886828056540639,0.021765509318936616,0
243.46,242.23914508309372,242.77428214038613,6.272762763662655,5.885894098860064,0.3868686648025914,0
243.7299,242.38822057478433,243.12995632601016,6.62843694928668,6.084961004029805,0.5434759452568754,0
243.77,242.52639851730586,243.40114131552673,6.89962193880325,6.317507266804483,0.5821146719987667,0
243.55,242.62875866557528,243.5221447774171,7.020625400693632,6.3917920660659435,0.6288333346276884,0
243.47,242.71288279901773,243.57762164769355,7.076102270970068,6.546008123661158,0.53009414730891,0
243.53,242.79459451911598,243.63103602704578,7.1295166503223015,6.7795098646832574,0.3500067856390441,0
243.23,242.8381350672044,243.56427917266018,7.0627597959366994,6.950860642015186,0.11189915392151306,0
242.25,242.77932156048396,243.1845732065786,6.683053829855112,7.03772521134519,-0.3546713814900784,1
242.25,242.72638940443557,242.89949489187677,6.397975515153291,6.994411589555563,-0.5964360744022716,0
242.81,242.734750463992,242.8723104037912,6.370791027067725,6.869881612447495,-0.49909058537977025,0
243.21,242.78227541759279,242.98428408023668,6.4827647035131974,6.728819363667026,-0.24605466015382849,0
244.2499,242.9290378758335,243.41047194363452,6.90895256691104,6.599468974305205,0.3094835926058348,-1
242.0667,242.84280408825012,243.00180193669803,6.500282559974551,6.568707528500073,-0.06842496852552227,1
241.91,242.7495236794251,242.6455153391059,6.143995962382434,6.532153274523961,-0.3881573121415274,0
238.0,242.2745713114826,241.0901328947969,4.58861351807343,6.4813573639697895,-1.8927438458963595,0
239.3,241.97711418033435,240.3765253777042,3.875006000980733,6.124921862170931,-2.249915861190198,0
239.04,241.68340276230091,239.7772831430321,3.2757637663086143,5.603370121664438,-2.3276063553558233,0
240.01,241.51606248607087,239.67242567542408,3.1709062987006007,4.876732361543953,-1.705826062843352,0
239.6238,241.32683623746374,239.48572189378817,2.9842025170646878,4.2108571092891625,-1.2266545922244747,0
239.7,241.16415261371736,239.39049301868354,2.888973641960064,3.578898420225613,-0.6899247782655493,0
239.5,240.9977373523456,239.27086069671486,2.7693413199913834,3.23897044500294,-0.4696291250115565,0
239.79,240.87696361711104,239.29421887137337,2.792699494649895,3.01783750880507,-0.2251380141551751,0
239.55,240.74426725539996,239.24690595122334,2.745386574499861,2.9212246544733262,-0.17583807997346534,0
240.4,240.70984052985995,239.50624503934694,3.004725662623457,2.836120709633178,0.1686049529902789,-1
240.4,240.67885647687393,239.70939781604628,3.2078784393227977,2.840225338744932,0.3676531005778658,0
240.62,240.67297082918654,239.9409497470253,3.4394303703018068,2.904006298217479,0.5354240720843277,0
240.36,240.6416737462679,240.03245311414267,3.53093373741919,3.0380241082795636,0.4929096291396262,0
238.45,240.4225063716411,239.47313047182809,2.971611095104606,3.1856709568334223,-0.21405986172881608,1
236.35,240.01525573447697,238.3706705055901,1.8691511288666334,3.2309158609543713,-1.361764732087738,0
235.225,239.53623016102924,237.19396026354354,0.6924408868200658,3.003800954203007,-2.311360067382941,0
234.96,239.0786071449263,236.25355224156053,0.0,2.5007134437024603,-2.5007134437024603,0
234.99,238.6697464304337,235.59117820233018,-0.25227262109365256,1.8128273696420991,-2.0650999907357517,0
236.26,238.42877178739036,235.54773183880147,-0.29571898462236845,1.0561860979395306,-1.351905082561899,0
236.47,238.2328946086513,235.61161545201608,-0.23183537140775456,0.4027200819941356,-0.6345554534018902,0
236.93,238.10260514778616,235.83482297980385,-0.008627843619990472,-0.017477218060741963,0.008849374440751491,-1
237.11,238.00334463300754,236.07995122634597,0.0,-0.15769096414875322,0.15769096414875322,0
236.75,237.87801016970678,236.159088276466,0.0,-0.15769096414875322,0.15769096414875322,0
236.8499,237.7751991527361,236.2646233835227,0.0,-0.1072364399300227,0.1072364399300227,0
236.48,237.6456792374625,236.23233784746898,0.0,-0.04809264300554901,0.04809264300554901,0
235.44,237.42511131371626,235.87511074159934,0.0,-0.0017255687239980944,0.0017255687239980944,0
234.5,237.13260018234465,235.3108476131544,-0.5326032102694285,0.0,-0.5326032102694285,1
